No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2,,,
4,2,1,8.995555556,6.7,2700,-116.868772,32.494282,-116.86263,32.507915,-1.45,INCREMENTO,1,,,
6,2,1,11.04638889,1.8,426,-116.964143,32.506663,-116.967068,32.50669,1.5333333,INCREMENTO,1,,,
6,2,1,12.05972222,9.966666667,5235,-116.959772,32.528093,-116.990432,32.525363,1.9666667,INCREMENTO,1,,,
6,2,1,12.65055556,2.983333333,1281,-116.960082,32.501303,-116.9658,32.498678,0.0333333,INCREMENTO,1,,,
6,2,1,13.06527778,13.55,7886,-116.966275,32.507142,-116.9246,32.539975,-2.3,DP,2,,,
6,2,1,15.14166667,1.2,229,-116.955098,32.498057,-116.953538,32.499685,-0.2,INCREMENTO,1,,,
6,2,1,16.35611111,18.65,9962,-116.927698,32.48529,-117.009472,32.52148,0.8666667,INCREMENTO,1,,,
6,2,1,17.11805556,8.983333333,4810,-116.964127,32.504103,-116.994223,32.477058,-0.8666667,INCREMENTO,1,,,
6,2,1,18.38472222,13,5303,-116.963967,32.506915,-116.994162,32.477163,-2.85,DP,2,,,
6,2,1,19.21,30.46666667,16399,-117.010138,32.525425,-116.894992,32.547673,-4.3166667,DP,2,,,
4,2,1,19.31166667,6.583333333,1994,-116.868795,32.494263,-116.855933,32.498988,-2.0833333,DP,2,,,
6,2,1,19.55944444,5.733333333,1395,-116.902408,32.543855,-116.894992,32.547673,-0.55,INCREMENTO,1,,,
6,2,1,22.47694444,6.55,966,-116.972695,32.492408,-116.96712,32.498932,-5.55,DP,2,,,
4,3,1,6.525555556,6.05,2398,-116.868573,32.494272,-116.873285,32.475893,-0.1333333,INCREMENTO,1,,,
7,3,1,8.644444444,13.81666667,6384,-116.857409,32.489116,-116.884568,32.448828,-2.8166667,DP,2,,,
3,3,1,10.28861111,3.45,927,-116.868894,32.495176,-116.870451,32.500649,3.4833333,INCREMENTO,1,,,
3,3,1,11.85916667,13.35,5969,-116.907647,32.51653,-116.872131,32.495147,8.9166667,INCREMENTO,1,,,
5,3,1,13.73222222,7.716666667,4142,-116.966337,32.499762,-116.964751,32.505011,-2.7166667,DP,2,,,
6,3,1,14.07972222,11.63333333,9551,-116.90563,32.54381,-116.967222,32.517042,0.1666667,INCREMENTO,1,,,
5,3,1,14.63388889,16.81666667,6907,-116.966017,32.505787,-116.959524,32.531094,-8.8833333,DM,3,,,
7,3,1,14.81638889,1.266666667,294,-116.902441,32.465959,-116.899984,32.465341,-0.2666667,INCREMENTO,1,,,
2,3,1,17.53916667,33.41666667,23027,-116.832655,32.462807,-117.010003,32.525442,-10.1833333,DM,3,,,
7,3,1,18.70111111,3.066666667,1774,-116.889128,32.459879,-116.887879,32.452342,0.95,INCREMENTO,1,,,
5,3,1,19.31555556,12.78333333,6688,-116.986132,32.485123,-116.956854,32.499068,-3.7833333,DP,2,,,
2,3,1,19.45138889,25.08333333,12832,-116.931108,32.403113,-116.914667,32.46555,-4.6,DP,2,,,
6,3,1,21.00972222,24.83333333,9946,-116.94555,32.540958,-117.010002,32.525517,-12.4,DM,3,,,
5,4,1,7.650833333,9.883333333,5561,-116.962689,32.508441,-116.92062,32.505588,-2.8833333,DP,2,,,
6,4,1,7.967222222,0.766666667,197,-116.970965,32.492145,-116.970388,32.493847,1.2333333,INCREMENTO,1,,,
5,4,1,8.566666667,6.883333333,3003,-116.962659,32.505359,-116.962026,32.511223,5.1166667,INCREMENTO,1,,,
7,4,1,8.754722222,18.85,7398,-116.822793,32.489983,-116.873821,32.467657,-1.85,DP,2,,,
7,4,1,9.654722222,20.66666667,9711,-116.885357,32.449414,-116.890401,32.523189,-4.65,DP,2,,,
3,4,1,11.22138889,22.61666667,17561,-116.987174,32.513924,-116.868889,32.488128,-0.6166667,INCREMENTO,1,,,
6,4,1,16.62305556,22.83333333,7846,-116.936418,32.534245,-116.965855,32.498758,-12,DM,3,,,
7,4,1,17.39777778,3.15,977,-116.927876,32.485067,-116.926388,32.476451,-1.15,INCREMENTO,1,,,
6,4,1,17.85583333,10.75,7110,-116.964018,32.5071,-117.010097,32.525605,-2.7166667,DP,2,,,
7,4,1,17.93138889,18.1,5396,-116.872222,32.451451,-116.868823,32.493622,0.9,INCREMENTO,1,,,
7,4,1,18.23138889,16.5,4139,-116.868818,32.492195,-116.888643,32.515136,2.1166667,INCREMENTO,1,,,
1,4,1,19.1475,6.733333333,1623,-116.952358,32.495991,-116.965477,32.505504,-3.75,DP,2,,,
9,4,1,20.31138889,23.2,12716,-116.885137,32.448033,-116.965485,32.505502,-9.9166667,DM,3,,,
7,4,1,21.9525,2.65,522,-116.903781,32.500596,-116.908114,32.499643,-1.65,INCREMENTO,1,,,
7,4,1,23.18972222,17.35,4545,-116.859614,32.497053,-116.872899,32.528582,-8.35,DM,3,,,
7,5,1,6.745277778,21.75,7138,-116.896663,32.501569,-116.884735,32.448682,-4.7333333,DP,2,,,
4,5,1,10.81861111,0.75,264,-116.866123,32.509285,-116.866712,32.507005,0.25,INCREMENTO,1,,,
6,5,1,11.02944444,1.416666667,282,-116.965718,32.50537,-116.963995,32.506842,-0.2,INCREMENTO,1,,,
6,5,1,12.95027778,4.733333333,1472,-116.98684,32.517205,-116.985577,32.507658,-0.8166667,INCREMENTO,1,,,
4,5,1,13.28722222,7.583333333,2809,-116.885247,32.448267,-116.873483,32.461895,-1.4666667,INCREMENTO,1,,,
6,5,1,14.87666667,8.25,9414,-116.919037,32.520033,-117.01012,32.525385,2.7666667,INCREMENTO,1,,,
6,5,1,16.09861111,6.316666667,2281,-116.960938,32.48711,-116.968757,32.470222,-0.8833333,INCREMENTO,1,,,
6,5,1,17.56416667,22,9741,-116.964647,32.486642,-117.010033,32.525532,-6.6166667,DP,2,,,
2,5,1,17.85,5.233333333,2230,-116.885645,32.460562,-116.884585,32.448742,2.8666667,INCREMENTO,1,,,
2,5,1,17.96833333,1.45,539,-116.880698,32.45122,-116.88508,32.448105,1.9166667,INCREMENTO,1,,,
4,5,1,19.0175,4.783333333,2592,-116.982198,32.51535,-116.969715,32.508298,0.85,INCREMENTO,1,,,
6,5,1,19.68861111,4.866666667,1184,-116.969773,32.508407,-116.967083,32.509927,-1.45,INCREMENTO,1,,,
9,5,1,20.13861111,6.183333333,2248,-116.959525,32.50806,-116.969825,32.508305,-1.6666667,INCREMENTO,1,,,
4,5,1,21.56805556,13.01666667,3920,-116.880817,32.480383,-116.872863,32.451667,-5.9166667,DP,2,,,
4,6,1,3.150555556,6.266666667,1569,-116.859675,32.496865,-116.852242,32.491187,1.15,INCREMENTO,1,,,
1,6,1,14.73,27.26666667,12210,-116.838564,32.508847,-116.884772,32.448657,-10.2666667,DM,3,,,
7,6,1,15.40805556,10.8,5150,-116.903178,32.535699,-116.92611,32.509109,-3.8,DP,2,,,
5,6,1,16.83388889,20.05,13515,-117.082747,32.531941,-116.964212,32.506678,-6.4333333,DP,2,,,
1,6,1,17.05388889,14.46666667,10045,-116.935006,32.490778,-116.876917,32.445268,-4.5166667,DP,2,,,
5,6,1,18.50638889,22.71666667,10825,-116.914964,32.481199,-116.989988,32.510278,-9.7,DM,3,,,
7,6,1,20.52222222,13.31666667,10229,-116.885426,32.44951,-116.957824,32.506836,-5.3166667,DP,2,,,
2,6,1,21.29666667,26.65,8122,-116.994807,32.476945,-116.97189,32.51151,-17.75,DM,3,,,
3,6,1,21.63916667,18.5,5166,-116.968479,32.50717,-116.92632,32.488423,-8.5,DM,3,,,
2,6,1,22.38888889,9.483333333,1643,-116.98141,32.507652,-116.994302,32.506127,-5.4833333,DP,2,,,
5,7,1,4.6,1.25,255,-116.979784,32.486084,-116.98159,32.486858,2.6833333,INCREMENTO,1,,,
5,7,1,6.097222222,6.983333333,4478,-116.927366,32.482955,-116.957979,32.507027,-0.9833333,INCREMENTO,1,,,
4,7,1,12.13194444,4.5,2139,-116.834457,32.454673,-116.83146,32.466377,-0.65,INCREMENTO,1,,,
5,7,1,13.07305556,1.95,469,-116.93364,32.522017,-116.936427,32.522738,0.05,INCREMENTO,1,,,
6,7,1,13.52416667,12.83333333,8307,-116.962477,32.508628,-116.92706,32.539877,1.1833333,INCREMENTO,1,,,
4,7,1,15.40194444,11.8,5572,-116.885135,32.44812,-116.92606,32.460713,-4.4666667,DP,2,,,
7,7,1,15.95361111,4.183333333,918,-116.873708,32.470707,-116.873815,32.462471,-2.1833333,DP,2,,,
4,7,1,17.99666667,13.66666667,5378,-116.885118,32.448133,-116.840003,32.470828,-3.3833333,DP,2,,,
2,7,1,21.97055556,35.61666667,16960,-116.845517,32.49079,-116.957965,32.506928,-13.4,DM,3,,,
4,1,1,0.144166667,38.23333333,24119,-116.820087,32.469792,-117.009953,32.525505,-3.7666667,DP,2,,,
1,1,1,2.427222222,8.516666667,8312,-116.936179,32.492782,-117.010111,32.525482,-0.5166667,INCREMENTO,1,,,
3,1,1,13.10277778,10.88333333,11276,-116.962814,32.508874,-116.88533,32.449542,5.1166667,INCREMENTO,1,,,
6,1,1,14.16527778,2.216666667,2070,-116.97946,32.515178,-116.96422,32.506942,0.9333333,INCREMENTO,1,,,
6,1,1,18.09555556,3.55,543,-117.022137,32.532855,-117.021672,32.532825,-1.3,INCREMENTO,1,,,
5,1,1,18.78666667,10.38333333,1921,-116.969557,32.495959,-116.966039,32.505583,-5.3833333,DP,2,,,
6,1,1,19.62388889,12.15,3282,-116.965945,32.498762,-116.963963,32.50688,2.8,INCREMENTO,1,,,
1,1,1,19.95027778,23.16666667,11489,-116.888495,32.453513,-116.969742,32.508294,-9.2666667,DM,3,,,
3,1,1,20.75916667,6.683333333,1074,-116.972407,32.509185,-116.963914,32.506842,-1.6833333,INCREMENTO,1,,,
2,1,1,21.54277778,15.51666667,10427,-116.885118,32.448125,-116.957868,32.506855,-4.45,DP,2,,,
4,1,1,21.75194444,9.716666667,2453,-116.949938,32.496637,-116.969745,32.508338,-5.1833333,DP,2,,,
2,1,1,21.96888889,1.983333333,271,-116.969903,32.50823,-116.972343,32.509018,-0.2833333,INCREMENTO,1,,,
4,1,1,22.10083333,4.866666667,4063,-116.933505,32.513978,-116.898158,32.52739,-0.1833333,INCREMENTO,1,,,
6,1,1,22.15222222,10.3,4518,-116.971573,32.512063,-116.942993,32.502708,-3.8166667,DP,2,,,
3,1,1,22.46916667,7.116666667,6737,-116.733286,32.507146,-116.745471,32.472986,0.4833333,INCREMENTO,1,,,
4,1,1,22.6875,13.15,3472,-116.868547,32.494287,-116.868518,32.515733,-3.95,DP,2,,,
4,1,1,22.95166667,2.216666667,577,-116.867242,32.51735,-116.869235,32.520022,-0.0666667,INCREMENTO,1,,,
3,1,1,23.92416667,2.066666667,469,-116.732502,32.40426,-116.729177,32.404208,-0.0666667,INCREMENTO,1,,,
4,2,1,4.635555556,10.85,2989,-116.871878,32.51379,-116.86852,32.49433,-3.95,DP,2,,,
2,2,1,5.522777778,9.5,4165,-116.83697,32.489793,-116.808065,32.489037,-0.2,INCREMENTO,1,,,
2,2,1,7.146666667,28.88333333,21302,-116.744755,32.502268,-116.872767,32.445403,-4.3,DP,2,,,
1,2,1,8.659722222,3.133333333,695,-116.85948,32.501608,-116.853724,32.499219,-1.2,INCREMENTO,1,,,
5,2,1,8.769166667,0.7,560,-116.959649,32.501259,-116.964172,32.504545,0.3,INCREMENTO,1,,,
9,2,1,10.12777778,3.466666667,1612,-117.036152,32.506702,-117.031293,32.493795,-1.0833333,INCREMENTO,1,,,
9,2,1,11.21138889,21.83333333,13203,-117.028085,32.524843,-117.037163,32.459015,-5.25,DP,2,,,
9,2,1,11.77916667,16.7,10976,-117.037093,32.458998,-117.023112,32.50931,0.2,INCREMENTO,1,,,
6,2,1,15.13694444,9.85,2286,-116.954305,32.505822,-116.964005,32.506833,-4.7833333,DP,2,,,
5,2,1,15.27472222,2.816666667,875,-116.968648,32.478338,-116.965272,32.473376,-0.8166667,INCREMENTO,1,,,
6,2,1,16.81527778,20.66666667,14655,-116.901307,32.537713,-117.010073,32.52558,-8.7,DM,3,,,
5,2,1,17.85972222,9.433333333,3041,-116.879778,32.446514,-116.869834,32.444644,-5.7833333,DP,2,,,
9,2,1,20.40111111,4.4,568,-117.0221,32.51739,-117.021128,32.519622,-0.9666667,INCREMENTO,1,,,
3,2,1,22.24638889,24.18333333,13118,-116.972026,32.493544,-116.885079,32.448287,39.85,INCREMENTO,1,,,
6,2,1,22.67194444,30.83333333,11008,-116.962497,32.508662,-116.9677,32.447297,-13.25,DM,3,,,
2,2,1,22.69833333,10.23333333,9016,-116.947553,32.498312,-116.885,32.448043,-1.8166667,DP,2,,,
1,2,1,23.3675,3.266666667,1266,-116.893028,32.456735,-116.885145,32.448127,-1.55,INCREMENTO,1,,,
4,3,1,0.553888889,32.35,20034,-116.95263,32.433902,-116.891193,32.442615,-13.25,DM,3,,,
4,3,1,1.05,28.88333333,13709,-116.890657,32.443312,-116.964227,32.506823,-13.7,DM,3,,,
6,3,1,7.646388889,24.78333333,12483,-116.974787,32.466827,-117.01008,32.52555,1.4666667,INCREMENTO,1,,,
9,3,1,9.241388889,3.95,1868,-116.96605,32.498875,-116.953002,32.504337,0.8333333,INCREMENTO,1,,,
3,3,1,13.45666667,70.51666667,25383,-116.863939,32.555718,-116.868605,32.494205,-27.5,DM,3,,,
7,3,1,13.98638889,9.633333333,10923,-116.925421,32.470357,-117.010046,32.525496,-1.3,INCREMENTO,1,,,
4,3,1,14.95305556,9.4,3836,-116.885273,32.44821,-116.911398,32.467397,-2.3166667,DP,2,,,
2,3,1,14.95277778,2.183333333,1097,-116.827352,32.456522,-116.83868,32.453912,-0.1166667,INCREMENTO,1,,,
6,3,1,16.32166667,14.43333333,6065,-116.963907,32.507003,-116.988913,32.478535,-2.15,DP,2,,,
2,3,1,16.91666667,2.833333333,590,-116.88018,32.460745,-116.87527,32.461362,0.6833333,INCREMENTO,1,,,
6,3,1,17.57527778,5.733333333,1182,-116.958285,32.500065,-116.964037,32.506863,-3.5166667,DP,2,,,
3,3,1,18.59583333,4.566666667,1537,-116.972008,32.510962,-116.964017,32.507155,0.4333333,INCREMENTO,1,,,
1,3,1,23.06055556,19.36666667,7588,-116.949709,32.392322,-116.964274,32.431119,-5.35,DP,2,,,
1,3,1,23.66083333,16.66666667,13693,-116.931193,32.466449,-117.010063,32.525495,-6.6666667,DP,2,,,
1,4,1,0.494444444,23.41666667,10764,-116.966415,32.424513,-116.932811,32.375558,-3.4166667,DP,2,,,
6,4,1,5.238333333,22.56666667,5237,-116.960543,32.478118,-116.964042,32.506793,-11.5666667,DM,3,,,
6,4,1,6.2075,8.45,3132,-116.943785,32.495817,-116.920257,32.492093,-0.7333333,INCREMENTO,1,,,
6,4,1,6.654444444,11.95,5702,-116.913767,32.492087,-116.957588,32.5067,-5.1333333,DP,2,,,
9,4,1,8.055277778,25.16666667,16138,-117.021425,32.53063,-116.872292,32.536557,-3.9666667,DP,2,,,
9,4,1,12.20777778,8.616666667,2483,-117.02819,32.524783,-117.0095,32.53367,-4.4666667,DP,2,,,
6,4,1,12.60194444,1.016666667,454,-117.007958,32.523745,-117.009993,32.52549,0.7333333,INCREMENTO,1,,,
9,4,1,13.36805556,10.66666667,3619,-117.034545,32.524308,-117.054493,32.50665,-3.3333333,DP,2,,,
6,4,1,17.15416667,1.933333333,482,-116.974067,32.46155,-116.97211,32.46526,-0.0833333,INCREMENTO,1,,,
4,4,1,18.82611111,10.05,2747,-116.861688,32.492705,-116.872778,32.478407,-3.5666667,DP,2,,,
9,4,1,19.85222222,16.53333333,3271,-116.961555,32.505983,-116.986805,32.516623,-2.6833333,DP,2,,,
6,4,1,20.15111111,15.31666667,4045,-116.949323,32.512018,-116.965937,32.498858,-5.5333333,DP,2,,,
4,4,1,20.54694444,19.51666667,11279,-116.916383,32.461085,-116.985688,32.50775,-7.9,DM,3,,,
1,4,1,21.91777778,36.68333333,23714,-116.951572,32.500883,-116.932756,32.375613,-7.7333333,DM,3,,,
9,5,1,9.255833333,15.63333333,3806,-117.028248,32.524793,-117.053657,32.534082,-8.35,DM,3,,,
1,5,1,9.339166667,5.916666667,2535,-116.882837,32.449729,-116.873589,32.461958,0.0833333,INCREMENTO,1,,,
4,5,1,10.23944444,1.066666667,277,-116.882977,32.449762,-116.885192,32.448138,0.15,INCREMENTO,1,,,
9,5,1,10.80194444,29.03333333,21274,-117.077732,32.48158,-117.009968,32.525445,-12.0833333,DM,3,,,
9,5,1,10.93916667,16.81666667,6739,-117.030685,32.492042,-117.009968,32.525445,-8.1,DM,3,,,
9,5,1,11.99416667,7.983333333,2292,-117.033903,32.524275,-117.015853,32.524955,-3.8833333,DP,2,,,
6,5,1,12.46666667,11.8,4826,-116.964013,32.507063,-116.979642,32.477812,0.3833333,INCREMENTO,1,,,
9,5,1,13.13222222,5.133333333,1765,-117.028113,32.524852,-117.014503,32.523525,-0.35,INCREMENTO,1,,,
6,5,1,15.43,5.983333333,2592,-117.010065,32.525493,-116.989115,32.519882,2.5333333,INCREMENTO,1,,,
1,5,1,16.14055556,3.183333333,704,-116.865181,32.513856,-116.871265,32.513697,-0.2,INCREMENTO,1,,,
3,5,1,19.96083333,1.65,363,-116.890646,32.501518,-116.8945,32.501787,-0.65,INCREMENTO,1,,,
7,5,1,20.07527778,0.966666667,468,-117.013085,32.527015,-117.014662,32.529886,0.0333333,INCREMENTO,1,,,
3,5,1,20.76527778,24.81666667,7081,-116.946984,32.491735,-116.881018,32.492057,-9.8166667,DM,3,,,
1,5,1,21.11138889,5.783333333,1255,-116.868851,32.492089,-116.882033,32.491826,-1.7833333,INCREMENTO,1,,,
4,5,1,21.24333333,8.516666667,8948,-116.947832,32.498453,-116.885207,32.448927,-0.2333333,INCREMENTO,1,,,
7,5,1,22.09777778,1.6,220,-117.039169,32.533873,-117.039845,32.532568,-0.6,INCREMENTO,1,,,
3,5,1,22.23833333,14.26666667,8992,-116.931469,32.495261,-117.010264,32.525554,-5.2666667,DP,2,,,
6,6,1,16.31805556,0.85,177,-116.985305,32.523512,-116.98566,32.523187,0.9833333,INCREMENTO,1,,,
3,6,1,19.50444444,40.05,9746,-116.878464,32.50248,-116.969731,32.50823,-18.1166667,DM,3,,,
3,6,1,20.00333333,2.966666667,600,-116.968152,32.510606,-116.963901,32.506979,-1.2166667,INCREMENTO,1,,,
1,6,1,19.98277778,6.183333333,5913,-116.952285,32.51416,-117.010072,32.525365,-0.1833333,INCREMENTO,1,,,
8,6,1,20.91888889,5.483333333,1326,-117.067602,32.526291,-117.064363,32.520704,2.5333333,INCREMENTO,1,,,
6,6,1,21.38527778,25.38333333,6498,-116.963945,32.50688,-116.954373,32.470177,-9.45,DM,3,,,
2,6,1,21.63805556,30.68333333,12218,-116.885262,32.448267,-116.969885,32.50829,-16.5833333,DM,3,,,
2,6,1,21.65111111,29.78333333,12127,-116.884907,32.448737,-116.969928,32.508263,-10.7333333,DM,3,,,
2,6,1,22.20472222,16.35,4527,-116.952005,32.501033,-116.919015,32.497778,-7.3,DM,3,,,
4,7,1,1.089166667,17.5,9148,-116.878127,32.450682,-116.843605,32.47773,-7.6666667,DM,3,,,
6,7,1,1.876666667,29.9,2989,-116.960938,32.527343,-116.964023,32.50686,-26.2666667,DM,3,,,
2,7,1,2.690277778,37.61666667,11776,-116.968523,32.419408,-116.885162,32.448208,-18.95,DM,3,,,
4,7,1,7.634166667,7.133333333,3664,-116.885193,32.448175,-116.882012,32.428408,-0.0333333,INCREMENTO,1,,,
4,7,1,10.185,5.65,1825,-116.851447,32.505023,-116.862025,32.497998,0.1,INCREMENTO,1,,,
1,7,1,13.06805556,4.966666667,4760,-116.924936,32.4624,-116.885309,32.448246,0.0333333,INCREMENTO,1,,,
1,7,1,14.13666667,12,4035,-116.882801,32.44973,-116.860421,32.461002,-6.0666667,DP,2,,,
1,7,1,21.57222222,2.683333333,1205,-116.936674,32.383872,-116.932746,32.375634,0.3166667,INCREMENTO,1,,,
6,7,1,22.675,14.26666667,2582,-116.962848,32.516727,-116.965915,32.49881,-9.1333333,DM,3,,,
1,1,1,0.074166667,4.116666667,1968,-116.936122,32.387477,-116.932752,32.37561,-0.1166667,INCREMENTO,1,,,
6,1,1,0.558888889,3,377,-116.964637,32.504917,-116.964027,32.506827,-1.4833333,INCREMENTO,1,,,
2,1,1,6.725833333,18.6,7494,-116.88503,32.448072,-116.932163,32.448233,-5.3,DP,2,,,
1,1,1,7.240555556,9.983333333,6065,-116.886439,32.426066,-116.876984,32.445636,1.95,INCREMENTO,1,,,
4,1,1,8.044444444,1.45,833,-116.88516,32.448177,-116.886862,32.444557,0.55,INCREMENTO,1,,,
1,1,1,7.907222222,4.633333333,1974,-116.951666,32.495474,-116.963967,32.506914,-0.6333333,INCREMENTO,1,,,
3,1,1,8.482222222,4.866666667,2145,-116.872939,32.478152,-116.868731,32.494247,2.0666667,INCREMENTO,1,,,
1,1,1,9.389722222,18.1,17381,-116.874778,32.465209,-117.010039,32.525523,1.5,INCREMENTO,1,,,
6,1,1,9.723333333,1.583333333,530,-116.975787,32.50433,-116.972558,32.508238,0.4166667,INCREMENTO,1,,,
4,1,1,11.94722222,3.933333333,3801,-116.91661,32.466335,-116.885163,32.448038,0.3166667,INCREMENTO,1,,,
6,1,1,13.55722222,7.833333333,3307,-116.96176,32.513347,-116.96589,32.498855,-1.9166667,DP,2,,,
1,1,1,15.18694444,2,621,-116.965425,32.510736,-116.964044,32.506821,0,INCREMENTO,1,,,
6,1,1,15.21444444,47.9,12274,-117.030047,32.434823,-117.02091,32.521457,-32.5666667,DM,3,,,
3,1,1,15.28861111,12.95,2598,-116.872811,32.502761,-116.894844,32.503275,-1.0166667,INCREMENTO,1,,,
4,1,1,15.65111111,10.81666667,10567,-116.962467,32.508537,-116.886175,32.45009,-2.2166667,DP,2,,,
6,1,1,16.05166667,20.83333333,8893,-116.989117,32.515867,-116.956062,32.46791,1.9166667,INCREMENTO,1,,,
1,1,1,16.505,40.65,15168,-116.867153,32.498647,-117.010185,32.525523,-24.6,DM,3,,,
6,1,1,18.56388889,10.06666667,2517,-116.97011,32.492845,-116.979332,32.473513,-3.35,DP,2,,,
7,1,1,20.69944444,1.75,488,-116.965628,32.50567,-116.969742,32.508333,-0.75,INCREMENTO,1,,,
8,1,1,20.78777778,6.733333333,3556,-117.025037,32.532919,-117.010129,32.525401,-2.7333333,DP,2,,,
2,1,1,21.03722222,34.01666667,17242,-116.950532,32.388868,-116.90381,32.46672,-13.1666667,DM,3,,,
4,1,1,21.56944444,7.466666667,2283,-116.926355,32.476288,-116.912047,32.463668,0.1333333,INCREMENTO,1,,,
6,2,1,8.5025,1.666666667,577,-116.96089,32.50668,-116.96399,32.506863,0.2666667,INCREMENTO,1,,,
7,2,1,15.69083333,52.2,15555,-117.06335,32.43039,-116.989944,32.510251,-18.2,DM,3,,,
1,2,1,15.90055556,21.63333333,11116,-116.937453,32.383966,-116.876961,32.445914,-6.7,DP,2,,,
1,2,1,18.81027778,13.3,12159,-116.873985,32.435842,-116.932795,32.375803,0.6166667,INCREMENTO,1,,,
6,2,1,19.10138889,12.08333333,4700,-116.985503,32.464783,-116.966598,32.439175,-2.3666667,DP,2,,,
6,2,1,19.55777778,20.3,9117,-116.97422,32.439658,-116.965883,32.50039,-4.5166667,DP,2,,,
3,2,1,21.48611111,28.05,8814,-116.966661,32.511596,-116.886561,32.501027,-3.05,DP,2,,,
